IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA11,CA12,CA20_15,CA23A,CA23C,CA23D,CA23E,CA23F,CA23G,CA24,CA25,CA26,CA7,CA8,CA8B3,OS1,PER1,Q1,Q31,STRADEF,CA23C_DETAIL_1,CA23C_DETAIL_10,CA23C_DETAIL_11,CA23C_DETAIL_12,CA23C_DETAIL_13,CA23C_DETAIL_14,CA23C_DETAIL_15,CA23C_DETAIL_16,CA23C_DETAIL_17,CA23C_DETAIL_18,CA23C_DETAIL_2,CA23C_DETAIL_3,CA23C_DETAIL_4,CA23C_DETAIL_6,CA23C_DETAIL_7,CA23C_DETAIL_8,CA23C_DETAIL_9,CA23G_1,CA23G_2,CA23G_3,CA23G_4,CA23G_5,CA26_8,CONTRAT_15,LIEUNAIS,PHD,PONDEF,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
A0041236,23,111,ÎLE-DE-FRANCE,11,,6,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,52.692408237,11,2130,1,9,9,2
A0041246,24,111,ALSACE,42,6,6,2,2,,,,,,2,,,3,3,1,2,1,2,3,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",08,16,35.226695995,11,2492,1,3,3,2
A0041310,23,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,2,,,3,,,2,2,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,56.315022873,41,2367,1,0,0,2
A0041344,23,111,CENTRE,24,5,5,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,21.676602363,41,1650,1,3,8,2
A0041346,23,111,ÎLE-DE-FRANCE,11,,5,2,2,,,,,,2,,,,,,1,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,77.39446944,41,2941,1,6,6,2
A0041405,24,111,ÎLE-DE-FRANCE,11,1,1,1,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,31.017097581,41,2400,1,2,2,2
A0041518,23,300,CENTRE,24,6,6,1,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,44.113651086,24,3883.625,1,0,0,2
A0041729,23,111,LORRAINE,41,1,4,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,,00,16,58.499580362,41,,2,3,,2
A0041731,24,211,CENTRE,24,6,6,2,2,,,,,,1,2,9,3,3,2,2,1,1,3,49,,,,,,,,,,,,,,,,,,,,,,,0,"02 CDI, Fonctionnaire",07,16,41.032295519,41,3141.65625,1,16,16,2
A0041744,23,111,ÎLE-DE-FRANCE,11,1,3,2,2,,,,,,2,,,1,1,1,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,28.29824766,41,3500,1,0,12,2
